n,|A|,|A+A|,delta,dup_density
2,4,9,-0.0625,0.1
3,7,25,-0.01020408163265306,0.10714285714285714
4,13,67,0.10355029585798817,0.26373626373626374
5,21,155,0.14852607709750568,0.329004329004329
6,26,251,0.128698224852071,0.2849002849002849
7,37,497,0.13696128560993426,0.2930298719772404
8,50,901,0.1396,0.29333333333333333
9,57,1217,0.12542320714065866,0.2637628554143981
10,73,1954,0.133327078251079,0.2765642354683451
11,91,3005,0.13712112063760415,0.28213091256569517
12,100,3735,0.1265,0.2603960396039604
13,121,5472,0.1262550372242333,0.25863704105134805
14,144,7749,0.12630208333333334,0.25775862068965516
15,155,9169,0.11835587929240375,0.24160463192721257
16,181,12583,0.11591526510179787,0.23605124157610347
17,209,16825,0.114821089260777,0.23331054910002277
18,222,19283,0.10873711549387224,0.22098331515371875
19,253,25215,0.10607102126263494,0.21524384550745387
20,286,32357,0.10441830896376351,0.21159328476401648
21,301,36273,0.09964018057195836,0.20193175067655278
22,337,45735,0.09729327545368895,0.19696943093427915
23,375,56901,0.09537066666666667,0.1928936170212766
24,392,62767,0.09153087255310287,0.1851404684011009
25,433,76964,0.08950125074004342,0.18089420078543225
26,476,93445,0.08757767813007555,0.17688459031411308
27,495,101825,0.08443016018773594,0.17053600521342457
28,541,121692,0.08421626275706315,0.16996678284712607
29,589,144371,0.08385050198748419,0.16911168023941758
30,610,155859,0.08113679118516527,0.16364465670360334
31,661,183261,0.08056261887160379,0.16239242016353506
32,714,214097,0.08003397437406336,0.1612426788897377
33,737,229393,0.07767656107031146,0.156497630105202
34,793,266055,0.07691751119903188,0.15490072136229793
35,851,306835,0.07631237736484761,0.15361932661381528
36,876,326711,0.07424912950105293,0.14946918459047293
37,937,374538,0.07340407235335189,0.1477177309063768
38,1000,427229,0.072771,0.1463956043956044
39,1027,452529,0.07095234889720488,0.14273942085102997
40,1093,513606,0.07007790572795859,0.14094177506518965
41,1161,580355,0.06944435170903933,0.13962976305369132
42,1190,611995,0.06783066167643528,0.13638704852217964
43,1261,688587,0.06695936975865359,0.13460501626887825
44,1334,771721,0.06634070520961409,0.13333108726535609
45,1365,810689,0.0649001059990071,0.13043725430255446
46,1441,905241,0.06405042954883768,0.12870550482645643
47,1519,1007267,0.06345496001709312,0.1274843214025848
48,1552,1054623,0.0621616437719205,0.12488714891696152
49,1633,1169760,0.06134367374673237,0.12322425854151035
50,1716,1293365,0.06077552012866698,0.12206265875456324
51,1751,1350241,0.059608428046827124,0.11971958619862362
52,1837,1488768,0.05882721615708554,0.118134489750344
53,1925,1636819,0.0582880080958003,0.11703469946460601
54,1962,1704419,0.05722982331993919,0.11491076245921619
55,2053,1869270,0.056499476014215594,0.11343079285022845
56,2146,2044865,0.05597726627228186,0.11236815409437995
57,2185,2124465,0.05501364095743288,0.11043440575662475
58,2281,2318745,0.05434126836622454,0.10907312282502908
59,2379,2525171,0.053828414205070604,0.10803176251585124
60,2420,2618119,0.05294737381326412,0.10626405999842972
61,2521,2845161,0.05232673861656492,0.10500849171479792
62,2624,3085837,0.05182738023312017,0.10399622531939605
63,2667,3193553,0.051018861674911556,0.10237429091978195
64,2773,3456870,0.05044450706928864,0.10121313489771983
65,2881,3735395,0.04996113930802065,0.10023458872061589
66,2926,3859371,0.049216630403449126,0.09874127814177802
67,3037,4162656,0.0486837835502407,0.09766468113369388
68,3150,4482809,0.04821778785588309,0.09672233052747176
69,3197,4624609,0.04753004385464986,0.09534305828850256
70,3313,4971735,0.04703452606325692,0.09434241692671706
71,3431,5337475,0.046586530256603066,0.09343728747692606
72,3480,5498735,0.045949349319593075,0.09215957232529957
73,3601,5893755,0.04548749572093469,0.09122735818494493
74,3724,6309221,0.04505761968985683,0.09035950374498086
75,3775,6491649,0.044465663786676025,0.08917260635312606
76,3901,6938796,0.044034253043524485,0.08830221482459714
77,4029,7408307,0.0436222778255513,0.08747104583580456
78,4082,7613683,0.043070928858930865,0.08636567798293206
79,4213,8117370,0.04266712241995758,0.08555129888717668
80,4346,8645425,0.04227260723318796,0.08475580908002525
81,4401,8875601,0.0417578506795542,0.08372389861004907
82,4537,9436209,0.041583761931201293,0.08336955834370219
83,4675,10022853,0.041406251251108125,0.08300865038448695
84,4732,10279639,0.04091998043571618,0.08203395200583519
85,4873,10905717,0.04073706076472507,0.08166257575154093
86,5016,11559665,0.040558530088088136,0.08130021404100063
87,5075,11845049,0.04009856099395763,0.08037832822865838
88,5221,12541530,0.039909638858086446,0.07999549003373012
89,5369,13267777,0.03973139191167357,0.07963420602375247
90,5430,13583819,0.03929574120990744,0.07876113966849473
91,5581,14355816,0.03910304566062171,0.07837122817338939
92,5734,15159537,0.038926077373487,0.07801294774527444
93,5797,15508369,0.03851294303808674,0.07718507443662947
94,5953,16361175,0.03831823160137692,0.07679154609438925
95,6111,17247725,0.038143296272544355,0.07643772366541839
96,6176,17631551,0.037751039667172276,0.0756517471214039
97,6337,18570639,0.03755569715885939,0.07525732183518206
98,6500,19545553,0.03738336094674556,0.07490904357909434
99,6567,19966649,0.03701049047814855,0.07416196436358147
100,6733,20997672,0.03681560585643808,0.0737687776155027
