n,|A|,|A+A|,delta,dup_density
101,8201,32035998,0.023673620299724335,0.04746338943624464
102,8384,33494515,0.023490948885736555,0.04709555526726661
103,8569,35002293,0.023309814662604244,0.04673087557616237
104,8756,36560427,0.023130272505431766,0.04636945667638701
105,8841,37290833,0.022911109629597047,0.04593013350718559
106,9031,38926625,0.022717988033221757,0.04554166296014741
107,9223,40613913,0.02254723044177854,0.045197984901240995
108,9417,42355466,0.02237799936804161,0.044857426215512385
109,9613,44152433,0.022210330381845236,0.04452005532778828
110,9702,44992683,0.022009405325069252,0.04411733494049715
111,9901,46874469,0.02183449806248204,0.04376557570523827
112,10102,48813291,0.021674691263348648,0.04344407228394498
113,10305,50811624,0.021516370778589273,0.043125596909249456
114,10510,52870671,0.02135955879091183,0.042810191778609716
115,10603,53831269,0.021174693831435352,0.04243969798089571
116,10811,55982610,0.021015557789666347,0.042119717954880294
117,11021,58196809,0.020865804104826118,0.04181854963514582
118,11233,60476007,0.020717479098498498,0.041520285332639066
119,11447,62821461,0.02057059563917584,0.041224949035926946
120,11544,63913391,0.02039994526351075,0.040882974122471744
121,11761,66358928,0.020254553171239843,0.04059068183080289
122,11980,68873427,0.020114025601935336,0.040308159037006144
123,12201,71458655,0.019974859536767288,0.04002839882119287
124,12424,74115923,0.01983706136140963,0.03975141253185566
125,12525,75350649,0.01967905147788256,0.03943479478851653
126,12751,78103803,0.019621358774193923,0.03931805924243204
127,12979,80931857,0.019562342675192516,0.03919871272439502
128,13209,83836158,0.01950210755036342,0.03907696269988651
129,13441,86817565,0.0194435190283812,0.03895853879786813
130,13546,88206611,0.019294607790039435,0.03866018411808876
131,13781,91305055,0.019234431275631434,0.03853862972129978
132,14018,94484533,0.01917326256902113,0.03841512157679409
133,14257,97746446,0.01911118440019268,0.038289824097846405
134,14498,101091167,0.019053222405168182,0.03817278687221578
135,14607,102646925,0.018912707899149592,0.03789128207596907
136,14851,106118468,0.018851013416093725,0.037766819316241304
137,15097,109677421,0.01878858636387566,0.037640917781882485
138,15345,113325239,0.018725492662994635,0.037513708446976754
139,15595,117061769,0.018668455425439608,0.037398635850183465
140,15708,118797111,0.01853569575618288,0.03713268940583369
141,15961,122670642,0.018473222593849842,0.037006779328459756
142,16216,126638201,0.018410221110956696,0.03687983542397161
143,16473,130701297,0.018346744074173218,0.03675196250259262
144,16732,134859211,0.018290842331719712,0.03663926061009194
145,16849,136787489,0.018165251612021146,0.03638769429210021
146,17111,141092977,0.01810256531759214,0.03626145338351089
147,17375,145499353,0.018039511826510014,0.03613449792652066
148,17641,150008180,0.017976133542712654,0.03600691212186758
149,17909,154618133,0.017921512240920957,0.03589685792547777
150,18030,156753179,0.017802556225235012,0.0356585978305127
151,18301,161521673,0.017740088372377446,0.03553287698643642
152,18574,166398157,0.01767738065864179,0.035406693766203236
153,18849,171384248,0.01761446727353811,0.035280116035959666
154,19126,176477975,0.017561221795255117,0.03517288942918904
155,19251,178834101,0.01744841347581789,0.03494695697309061
156,19531,184097730,0.017386491842062556,0.034822401409719816
157,19813,189476693,0.017324431065856665,0.03469758279073565
158,20097,194972661,0.01726225878827142,0.03457255596257247
159,20383,200582977,0.017210447165356257,0.03446826379233287
160,20512,203174975,0.01710334251659848,0.034253767045333984
161,20801,208966948,0.017042214143050655,0.03413086206995449
162,21092,214881841,0.01698102627453247,0.034007851532019046
163,21385,220921379,0.016919801304660448,0.03388477984664394
164,21680,227082179,0.016869453455835296,0.03378347409459981
165,21813,229925321,0.016767647428047653,0.03357959964683263
166,22111,236279927,0.016707496352790105,0.033458705848095335
167,22411,242765281,0.01664734867714189,0.03333783073384142
168,22713,249383162,0.016587222569812498,0.033217010322105424
169,23017,256129421,0.0165383473210068,0.03311870191047124
170,23154,259239459,0.01644147013172256,0.03292470735736593
171,23461,266192067,0.016382431106456173,0.0328060878176258
172,23770,273283493,0.016323445004529986,0.0326875846836631
173,24081,280515570,0.016264526578306706,0.03256922718480224
174,24394,287883343,0.0162171170183532,0.03247389649893076
175,24535,291276509,0.01612483075773894,0.032289103573616314
176,24851,298863568,0.016066999913423887,0.03217294502241245
177,25169,306597757,0.016009260809064698,0.03205697936458875
178,25489,314480963,0.01595162542363088,0.03194123031957062
179,25811,322507385,0.015905663002665802,0.03184883525196087
180,25956,326200391,0.015817658549963556,0.03167262359462604
181,26281,334459430,0.01576110172954761,0.03155905293008452
182,26608,342874153,0.015704666867378828,0.03144573460161719
183,26937,351446501,0.015648363682982232,0.031332687840856216
184,27268,360169787,0.015603821355928579,0.03124316995368077
185,27417,364179825,0.015519815592955002,0.03107497148676397
186,27751,373149453,0.015464574889218827,0.030964068733836243
187,28087,382283561,0.015409479441088175,0.030853464045987152
188,28425,391584144,0.0153545371214811,0.030743172987975815
189,28765,401043589,0.015311381762623928,0.030656462240275136
190,28918,405388331,0.015231115064481547,0.030495756107381124
191,29261,415108237,0.015177213969018099,0.030387564619468156
192,29606,425001661,0.01512347584566117,0.03027970587270879
193,29953,435070652,0.015069907053852425,0.030172192427324676
194,30302,445306631,0.015028101312516766,0.030088210802355082
195,30459,450004229,0.014951335293064581,0.029934518824126993
196,30811,460515182,0.01489878276484844,0.029829053340759786
197,31165,471208933,0.014846406419267563,0.029723946355417672
198,31521,482087585,0.014794211372242185,0.029619207960436895
199,31879,493141553,0.014753715098220573,0.029537872246936867
200,32040,498210639,0.014680230587234121,0.029390754846289523
201,32401,509554488,0.01462902427659451,0.029288007875189107
202,32764,521090657,0.014578003718479273,0.029185637957103917
203,33129,532821303,0.014527173004912944,0.029083653153019074
204,33496,544735795,0.01448794434152499,0.029004877073392905
205,33661,550195481,0.014417539571043822,0.0288639296239621
206,34031,562415155,0.014367668380384805,0.028763876507573772
207,34403,574836913,0.014317989570452569,0.02866421318406463
208,34777,587462966,0.014268506388713149,0.028564946039466167
209,35153,600281597,0.014230502608350213,0.028488641872409116
210,35322,606151475,0.014162991586947352,0.028353491426784495
211,35701,619290983,0.014114437708442734,0.028256094371694247
212,36082,632642581,0.01406608046344044,0.028159095157379264
213,36465,646208534,0.014017922401787671,0.02806249878688024
214,36850,659975999,0.013981100541452109,0.027988578597731958
215,37023,666276141,0.013916311596737414,0.027858880955380794
216,37411,680380572,0.01386905213599702,0.027764092240980677
217,37801,694707341,0.013821991646097228,0.027669705635369628
218,38193,709258767,0.013775132100042234,0.027575724998529248
219,38587,724020841,0.013739449441254992,0.027504101564719934
220,38764,730771799,0.013677223912636939,0.027379538643077943
221,39161,745887322,0.013631232183478273,0.02728730317844812
222,39560,761235673,0.013585440221608574,0.02719547105315008
223,39961,776819225,0.013539849522749909,0.027104045181853217
224,40364,792622763,0.013505263950198668,0.027034632681076132
225,40545,799845569,0.013445455015650996,0.026914910156837647
226,40951,816019433,0.013400701572775094,0.026825167518397777
227,41359,832436857,0.013356147458346587,0.02673582701787991
228,41769,849100268,0.013311793773098456,0.02664689078805599
229,42181,865993205,0.01327826403874532,0.02657960530170766
230,42366,873709371,0.013220735660982178,0.026464450492750063
231,42781,890989905,0.01317718912319017,0.026377136547108538
232,43198,908524973,0.013133840489487538,0.026290221600726065
233,43617,926317056,0.013090690533805615,0.0262037071398505
234,44038,944348407,0.013058176447290017,0.026138467012682295
235,44227,952579925,0.013002802426304706,0.026027626974232533
236,44651,971016538,0.012960430131897484,0.025942675168832505
237,45077,989718901,0.012918253536133028,0.025858117691480036
238,45505,1008689549,0.012876273142766919,0.02577395549429124
239,45935,1027909409,0.012844735704396948,0.025710681582265492
240,46128,1036678751,0.012791398824745488,0.02560392139382427
241,46561,1056321932,0.012750167352174078,0.025521263780962037
242,46996,1076242321,0.012709128759197554,0.025438994623795064
243,47433,1096442507,0.012668283326514975,0.025357114433806335
244,47872,1116902051,0.012637684815619056,0.02529573026521486
245,48069,1126232169,0.012586276078124174,0.02519283148738718
246,48511,1147133487,0.012546151658240539,0.025112399533843453
247,48955,1168323713,0.012506216822615022,0.025032349234051735
248,49401,1189805490,0.012466471668168923,0.024952680736780412
249,49849,1211556973,0.012436775696839847,0.024893112606289652
250,50050,1221471299,0.012387193625555263,0.024793871889034824
251,50501,1243683403,0.012348142466527885,0.024715597113069768
252,50954,1266196357,0.01230927723273563,0.024637696481868757
253,51409,1289012111,0.012270880515755539,0.024560735126803207
254,51866,1312109615,0.012241769410240229,0.024502346857598074
255,52071,1322632061,0.012193919426555653,0.02440657468352202
256,52531,1346208680,0.01215590796833941,0.024330389152700735
257,52993,1370098333,0.012118078504971463,0.024254569732949118
258,53457,1394301993,0.012081053048199031,0.024180360387503298
259,53923,1418800217,0.012052436248610745,0.024122970099912364
260,54132,1429955175,0.012006230105303647,0.02403048964809994
261,54601,1454951118,0.011969225217243305,0.023956326364847503
262,55072,1480272521,0.011932398197924028,0.02388252078354446
